SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall,BestThreshold,Samples,TP,FP,FN,TN,GTArea,PredArea,ProbabilityMean,ProbabilityMax,RunTag,FeatureConfig,ModelName,Modelo,ShortLabel,ModelRunId,ExperimentId,ExperimentOrder,Specificity,FalsePositiveRate,FalseNegativeRate,BalancedAccuracy,MCC,AreaRatio,AbsoluteAreaError,RelativeAreaError,FPBurden,FNBurden,PredictedPositiveFraction,PlumeSizeBin,IsEmptyPrediction,IsNearEmptyPrediction,IsSevereFalseNegative,IsSevereFalsePositive,IsOversegmented,IsUndersegmented,IsSaturatedPrediction,IsAcceptablePrediction,PrimaryQualityCategory
67756e67-f943-4f44-a748-c0ac2d86403e,0.3,0.0445,0.9997,3059,1853,1636,217,1423,36724,0.6661,0.4994,0.8829,0.5348,0.3,0.0445,1636,217,1423,36724,3059,1853,0.0445,0.9997,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9941,0.0059,0.4652,0.7645,0.6688,0.6058,1206,-0.3942,0.0709,0.4652,0.0463,Grande,False,False,False,False,False,False,False,True,Aceptable
789c743e-c04a-4aad-b156-67f965c09105,0.3,0.0295,0.9999,967,1205,957,248,10,38785,0.8812,0.7877,0.7942,0.9897,0.3,0.0295,957,248,10,38785,967,1205,0.0295,0.9999,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9936,0.0064,0.0103,0.9917,0.8836,1.2461,238,0.2461,0.2565,0.0103,0.0301,Media,False,False,False,False,False,False,False,True,Aceptable
7f4bf604-90fe-431f-8812-9496e3ef716a,0.3,0.0156,0.997,625,669,270,399,355,38976,0.4173,0.2637,0.4036,0.432,0.3,0.0156,270,399,355,38976,625,669,0.0156,0.997,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9899,0.0101,0.568,0.7109,0.408,1.0704,44,0.0704,0.6384,0.568,0.0167,Pequeña,False,False,False,False,False,False,False,True,Aceptable
d29a55fc-23bc-4927-a41e-11365cf2b68a,0.3,0.0002,0.0107,368,0,0,0,368,39632,0.0,0.0,1.0,0.0,0.3,0.0002,0,0,368,39632,368,0,0.0002,0.0107,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,1.0,0.0,1.0,0.5,0.0,0.0,368,-1.0,0.0,1.0,0.0,Pequeña,True,True,True,False,False,True,False,False,Vacía
c18da7a8-eed2-49db-b6d8-9d0bcb91013b,0.3,0.0003,0.0999,1162,0,0,0,1162,38838,0.0,0.0,1.0,0.0,0.3,0.0003,0,0,1162,38838,1162,0,0.0003,0.0999,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,1.0,0.0,1.0,0.5,0.0,0.0,1162,-1.0,0.0,1.0,0.0,Media,True,True,True,False,False,True,False,False,Vacía
3986fd15-5303-4fa6-930b-7f2c8e31daea,0.3,0.0473,0.9998,1581,1976,1359,617,222,37802,0.7641,0.6183,0.6878,0.8596,0.3,0.0473,1359,617,222,37802,1581,1976,0.0473,0.9998,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9839,0.0161,0.1404,0.9218,0.7584,1.2498,395,0.2498,0.3903,0.1404,0.0494,Grande,False,False,False,False,False,False,False,True,Aceptable
0d14e6dc-959f-4e96-a8d3-d6bc372f1817,0.3,0.0422,0.9994,3536,1732,1599,133,1937,36331,0.6071,0.4358,0.9232,0.4522,0.3,0.0422,1599,133,1937,36331,3536,1732,0.0422,0.9994,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9964,0.0036,0.5478,0.7243,0.6256,0.4898,1804,-0.5102,0.0376,0.5478,0.0433,Grande,False,False,False,False,False,False,False,False,Otros
f11d2aa3-9384-404c-90e9-c3729fc9ad73,0.3,0.0185,0.9997,714,778,412,366,302,38920,0.5523,0.3815,0.5296,0.577,0.3,0.0185,412,366,302,38920,714,778,0.0185,0.9997,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9907,0.0093,0.423,0.7839,0.5443,1.0896,64,0.0896,0.5126,0.423,0.0194,Pequeña,False,False,False,False,False,False,False,True,Aceptable
9d985b1c-5fdf-46f8-98a9-909c92ba0bc8,0.3,0.0148,0.9979,650,625,485,140,165,39210,0.7608,0.6139,0.776,0.7462,0.3,0.0148,485,140,165,39210,650,625,0.0148,0.9979,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9964,0.0036,0.2538,0.8713,0.7571,0.9615,25,-0.0385,0.2154,0.2538,0.0156,Pequeña,False,False,False,False,False,False,False,True,Aceptable
73841ef8-5218-4d03-a2dd-72c84ac34fb4,0.3,0.0001,0.0024,417,0,0,0,417,39583,0.0,0.0,1.0,0.0,0.3,0.0001,0,0,417,39583,417,0,0.0001,0.0024,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,1.0,0.0,1.0,0.5,0.0,0.0,417,-1.0,0.0,1.0,0.0,Pequeña,True,True,True,False,False,True,False,False,Vacía
