FigurePath,RunTag,Experiment,ModelName,ModelLabel,FeatureConfig,ConfigLabel,RunId,CaseGroup,SampleId,Country,Date,Location,Threshold,Dice,IoU,Precision,Recall,GTPixels,PredPixels,AreaRatio,TP,FP,FN,PredictedPositiveFraction
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigC,Configuración C,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,Algeria,2025-03-08,A_17,0.5,5.18941359357062e-10,5.18941359357062e-10,5.467468559066446e-10,1.0204081528529781e-08,98,1829,18.663265306122447,0,1829,98,0.045725
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigC,Configuración C,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,Algeria,2025-03-08,A_17,0.5,6.435006430865504e-10,6.435006430865504e-10,6.868131863414743e-10,1.0204081528529781e-08,98,1456,14.857142857142858,0,1456,98,0.0364
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigC,Configuración C,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,Algeria,2025-03-08,A_17,0.5,4.725897918371504e-10,4.725897918371504e-10,4.955401385056787e-10,1.0204081528529781e-08,98,2018,20.591836734693878,0,2018,98,0.05045
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase03.png,101840,Experimento 4,TransformerPlus,TransformerPlus,ConfigC,Configuración C,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,FixedComparisonCases,8d2f53e5-76d5-4675-9802-4ed9b6c0551b,Algeria,2025-03-08,A_17,0.5,7.047216344575605e-10,7.047216344575605e-10,7.570022704337603e-10,1.0204081528529781e-08,98,1321,13.479591836734693,0,1321,98,0.033025
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigB,Configuración B,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,Turkmenistan,2025-03-05,T_24,0.5,0.6788732395873835,0.5138592753988207,0.5138592753988207,1.0,723,1407,1.946058091286307,723,684,0,0.035175
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigB,Configuración B,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,Turkmenistan,2025-03-05,T_24,0.5,0.6882591094695045,0.5246913583914418,0.5426975263027154,0.940525587910753,723,1253,1.7330567081604427,680,573,43,0.031325
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigB,Configuración B,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,Turkmenistan,2025-03-05,T_24,0.5,0.8502072232976867,0.7394438725649394,0.7432712217978559,0.9930843706872968,723,966,1.3360995850622406,718,248,5,0.02415
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,101840,Experimento 4,TransformerPlus,TransformerPlus,ConfigB,Configuración B,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,Turkmenistan,2025-03-05,T_24,0.5,0.74148061119772,0.5891690013173024,0.6445352404039476,0.8727524206462622,723,979,1.3540802213001384,631,348,92,0.024475
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigC,Configuración C,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,Turkmenistan,2025-03-05,T_24,0.5,0.7267960148260115,0.5708401980470839,0.585304054404304,0.9585062241237812,723,1184,1.6376210235131397,693,491,30,0.0296
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigC,Configuración C,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,Turkmenistan,2025-03-05,T_24,0.5,0.7152385840352804,0.5567092655297848,0.5685154979049628,0.9640387275739436,723,1226,1.6957123098201936,697,529,26,0.03065
