ModelName,Modelo,SampleId,Fluxrate,FluxrateTH,LogFluxrate,FluxrateBin,FluxrateRelativeUncertainty,FluxrateUncertaintyBin,GTArea,PlumeSizeBin,WindSpeed10m,WindSpeedBin,DeltaDice,DeltaRecall,DeltaPrecision,DeltaFPBurden,DeltaFNBurden,DeltaFalseNegativeRate,DeltaAreaRatio
TransformerUNet,U-Net Transformer,fda498a1-c4a6-418b-99aa-0efaef57f89b,3018.2163,3.0182,3.4798,Medio,0.3616,Media,601,Pequeña,3.4897,Medio,-0.0914,-0.5641,-0.0426,-2.0166,0.5641,0.5641,-2.5807
TransformerUNet,U-Net Transformer,6c8f0f08-61f7-4d95-ba70-98a6e64e4eb8,2608.5823,2.6086,3.4164,Bajo,0.268,Baja,586,Pequeña,1.5546,Bajo,-0.6765,-0.7816,0.4036,-0.529,0.7816,0.7816,-1.3106
TransformerUNet,U-Net Transformer,d9b81bd9-ff98-4d9d-804d-40b0dd3b73c9,2350.685,2.3507,3.3712,Bajo,0.206,Baja,640,Pequeña,0.9463,Bajo,0.199,0.0,0.3064,-0.6781,0.0,0.0,-0.6781
TransformerUNet,U-Net Transformer,321c1ab5-6ebf-407a-b821-1c16cb7c8edd,13863.388,13.8634,4.1419,Alto,0.4086,Alta,1352,Media,5.9538,Alto,0.0155,-0.0059,0.0777,-0.1945,0.0059,0.0059,-0.2004
TransformerUNet,U-Net Transformer,ab8ade9a-e5d5-481f-8c81-3f8ead03087d,3516.1223,3.5161,3.5461,Medio,0.3623,Media,1214,Media,3.5196,Medio,0.167,0.2068,0.0099,0.0445,-0.2068,-0.2068,0.2512
TransformerUNet,U-Net Transformer,24871812-89c1-48c6-b53f-643e1f460719,1708.3824,1.7084,3.2326,Bajo,0.2839,Baja,976,Media,1.7579,Bajo,-0.0605,-0.0533,-0.0697,0.0492,0.0533,0.0533,-0.0041
TransformerUNet,U-Net Transformer,24074bf1-19ca-4cc8-a62b-2ac1cb5e0f90,6206.7153,6.2067,3.7929,Alto,0.3583,Media,1833,Grande,3.4455,Medio,-0.2242,-0.3301,0.083,-0.096,0.3301,0.3301,-0.4261
TransformerUNet,U-Net Transformer,beb168c0-8820-41ae-8ed6-bd880474c350,7283.095,7.2831,3.8623,Alto,0.3743,Media,2270,Grande,3.9842,Medio,0.0338,0.0057,0.1412,-0.196,-0.0057,-0.0057,-0.1903
TransformerUNet,U-Net Transformer,7ea777f8-b493-4682-b7ad-5f83a925fd8d,1940.9124,1.9409,3.288,Bajo,0.3754,Media,1062,Media,3.9943,Medio,0.2287,-0.0603,0.5286,-1.4407,0.0603,0.0603,-1.5009
TransformerUNet,U-Net Transformer,e68ffb23-9d39-4d94-b30f-aa95e6f57f50,2493.9624,2.494,3.3969,Bajo,0.3728,Media,1027,Media,3.9208,Medio,-0.3523,-0.3895,0.0863,-0.0847,0.3895,0.3895,-0.4742
TransformerUNet,U-Net Transformer,46584d5d-5386-44f0-a87f-7ad73ad423c3,10984.267,10.9843,4.0408,Alto,0.3741,Media,2765,Grande,4.0202,Medio,0.0034,0.0242,-0.0197,0.0221,-0.0242,-0.0242,0.0463
TransformerUNet,U-Net Transformer,603c2b57-706b-4f7c-a4a5-b149ad413e00,4702.407,4.7024,3.6723,Medio,0.3749,Media,624,Pequeña,4.0096,Medio,0.2863,0.5929,0.1887,2.1282,-0.5929,-0.5929,2.7212
TransformerUNet,U-Net Transformer,eec4b886-46cd-4f9e-acc1-928bf47dddb8,12821.869,12.8219,4.108,Alto,0.3731,Media,3546,Grande,3.951,Medio,-0.0223,-0.0533,0.0117,-0.0135,0.0533,0.0533,-0.0668
TransformerUNet,U-Net Transformer,9d9a9677-8417-40fb-883c-4a71f75e8e3f,5745.393,5.7454,3.7593,Medio,0.4161,Alta,521,Pequeña,6.5682,Alto,-0.0262,0.0,-0.0291,0.1209,0.0,0.0,0.1209
TransformerUNet,U-Net Transformer,a0a513a9-58d2-412e-b585-4b0053fc1b69,23109.072,23.1091,4.3638,Alto,0.3105,Baja,1814,Grande,2.2065,Bajo,0.0406,-0.0623,0.0856,-0.2321,0.0623,0.0623,-0.2944
TransformerUNet,U-Net Transformer,092afd5a-75d7-4017-8d56-db0e3ef3ed1e,3085.1003,3.0851,3.4893,Medio,0.3787,Media,1045,Media,4.1531,Medio,-0.0521,-0.1177,0.0345,-0.0364,0.1177,0.1177,-0.1541
TransformerUNet,U-Net Transformer,372b7e1a-051a-4b6b-801d-1a0b90ab2825,2712.6912,2.7127,3.4334,Bajo,0.191,Baja,1921,Grande,0.8334,Bajo,0.1343,0.1296,-0.0889,0.0432,-0.1296,-0.1296,0.1728
TransformerUNet,U-Net Transformer,d01dd02b-7a28-478b-96f2-155bdda29cee,2209.4517,2.2095,3.3443,Bajo,0.41,Alta,664,Pequeña,5.9538,Alto,-0.018,-0.0828,0.1693,-0.2771,0.0828,0.0828,-0.3599
TransformerUNet,U-Net Transformer,19364d09-2333-4057-827a-8c78c58e00f8,5362.763,5.3628,3.7294,Medio,0.4114,Alta,655,Pequeña,6.2353,Alto,0.0368,-0.0794,0.0473,-0.5252,0.0794,0.0794,-0.6046
TransformerUNet,U-Net Transformer,7f7ddd69-f22c-4433-8b67-98a5794afcc8,4904.5425,4.9045,3.6906,Medio,0.4103,Alta,1569,Grande,6.0638,Alto,0.0253,0.0688,-0.0088,0.0325,-0.0688,-0.0688,0.1013
TransformerUNet,U-Net Transformer,77a4f7e3-2a24-4044-86bb-4230e2bc40d0,2759.447,2.7594,3.4408,Bajo,0.4002,Alta,929,Media,5.266,Alto,-0.2642,-0.3563,0.0115,-0.0786,0.3563,0.3563,-0.4349
TransformerUNet,U-Net Transformer,41dc8164-f4e6-40d9-9c90-8d586894c334,674.8606,0.6749,2.8292,Bajo,0.4291,Alta,415,Pequeña,5.4353,Alto,0.0,0.0,0.0,-1.5663,0.0,0.0,-1.5663
TransformerUNet,U-Net Transformer,46157d53-b20a-4da0-ab03-1574332013d4,8796.285,8.7963,3.9443,Alto,0.3863,Media,950,Media,4.6132,Alto,-0.0565,-0.0705,-0.0471,0.0758,0.0705,0.0705,0.0053
TransformerUNet,U-Net Transformer,f4c604fe-7294-4980-ab4a-86879b7c3549,21662.16,21.6622,4.3357,Alto,0.4209,Alta,2359,Grande,7.0095,Alto,0.3065,0.4269,-0.166,0.1484,-0.4269,-0.4269,0.5752
TransformerUNet,U-Net Transformer,8d355bc9-addd-46bd-9fec-59a53a0f87d3,7399.93,7.3999,3.8692,Alto,0.3412,Baja,1578,Grande,2.8964,Medio,-0.201,0.0957,-0.3124,1.0741,-0.0957,-0.0957,1.1698
TransformerUNet,U-Net Transformer,28700c4e-b827-4212-aa0d-bf84be66c175,1076.749,1.0767,3.0321,Bajo,0.1641,Baja,1183,Media,0.6469,Bajo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TransformerUNet,U-Net Transformer,ce4ee57f-95b3-407b-b9fb-7ac6ca54b001,2931.7705,2.9318,3.4671,Bajo,0.3784,Media,987,Media,4.1334,Medio,0.0494,-0.2229,0.3203,-0.5137,0.2229,0.2229,-0.7366
TransformerUNet,U-Net Transformer,1bcffe1b-4eda-4e92-8c67-9c00cbce0277,2863.8145,2.8638,3.4569,Bajo,0.2288,Baja,497,Pequeña,1.143,Bajo,0.0041,0.0825,-0.0692,0.1026,-0.0825,-0.0825,0.1851
TransformerUNet,U-Net Transformer,b39aab22-7c2f-4878-9e84-518f74b3c029,1479.8473,1.4798,3.1702,Bajo,0.2809,Baja,1173,Media,1.7289,Bajo,-0.1662,-0.1722,-0.0958,-0.0034,0.1722,0.1722,-0.1756
TransformerUNet,U-Net Transformer,4d8bc4f4-3559-4b81-b197-afffc644ea7a,5909.179,5.9092,3.7715,Medio,0.3884,Alta,1127,Media,4.6608,Alto,-0.1511,-0.3194,0.0541,-0.1207,0.3194,0.3194,-0.4401
TransformerUNet,U-Net Transformer,b4fbd009-21e9-4585-9cf9-4cd7eacc32fc,3375.8413,3.3758,3.5284,Medio,0.3961,Alta,1034,Media,5.0441,Alto,0.1242,-0.0329,0.1582,-0.6044,0.0329,0.0329,-0.6373
TransformerUNet,U-Net Transformer,59e2a962-2357-4c2a-ac5c-3cac4e0aa241,1020.9085,1.0209,3.009,Bajo,0.3122,Baja,697,Pequeña,2.1686,Bajo,-0.0129,-0.0115,-0.0147,-0.5696,0.0115,0.0115,-0.5811
TransformerUNet,U-Net Transformer,92f80f16-9c5b-46c6-a2bf-09feb483cd10,5260.645,5.2606,3.721,Medio,0.386,Media,1364,Media,4.5439,Medio,-0.0341,-0.1642,0.0911,-0.3856,0.1642,0.1642,-0.5499
TransformerUNet,U-Net Transformer,9c8a3746-9bda-4750-80c7-4229c6591e3e,2200.7932,2.2008,3.3426,Bajo,0.3275,Baja,349,Pequeña,2.5375,Bajo,0.035,0.0544,0.0254,0.3782,-0.0544,-0.0544,0.4327
TransformerUNet,U-Net Transformer,f2ff4a41-fc8b-4029-9e8e-a1c7104ac667,3827.6453,3.8276,3.5829,Medio,0.3867,Media,355,Pequeña,4.5444,Medio,-0.1468,-0.4056,-0.0399,-0.5099,0.4056,0.4056,-0.9155
TransformerUNet,U-Net Transformer,18634d49-4776-42f6-a769-679b047d1f19,2299.494,2.2995,3.3616,Bajo,0.286,Baja,2120,Grande,1.7941,Bajo,-0.046,-0.0259,-0.0829,0.0651,0.0259,0.0259,0.0392
TransformerUNet,U-Net Transformer,e887b695-6ea5-4703-b37c-589a5becb194,3223.634,3.2236,3.5083,Medio,0.4049,Alta,907,Media,5.6061,Alto,0.0109,0.0728,-0.0278,0.1279,-0.0728,-0.0728,0.2007
